Fiscal Year 2022,A1,A2,A3,B1,B1/B2,B2,BBBCC,BBBCV,C1,C1/D,C2,C3,CW1,CW2,D,E1,E2,E2C,E3,E3D,E3R,F1,F2,G1,G2,G3,G4,G5,H1B,H1B1,H1C,H2A,H2B,H3,H4,I,J1,J2,K1,K2,K3,K4,L1,L2,M1,M2,N8,N9,NATO1,NATO2,NATO3,NATO4,NATO5,NATO6,O1,O2,O3,P1,P2,P3,P4,Q1,R1,R2,T2,T3,T4,T5,T6,TD,TN,U1,U2,U3,U4,U5,Grand Total
Algeria,59,133,1,4,"12,208",0,0,0,16,4,1,1,0,0,129,0,0,0,0,0,0,259,25,27,21,0,43,1,18,0,0,0,0,0,7,9,203,20,30,0,0,0,20,30,1,0,0,0,0,0,0,0,0,0,1,1,5,11,0,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"13,293"
Angola,54,120,0,6,"2,421",202,0,0,2,134,0,0,0,0,0,0,0,0,0,0,0,390,43,47,87,0,14,0,9,0,0,0,0,0,2,11,41,0,1,0,0,0,16,24,8,3,0,0,0,0,0,0,0,0,4,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,643"
Benin,6,76,1,2,961,1,0,0,5,0,0,2,0,0,2,0,1,0,0,0,0,163,4,13,19,0,59,0,3,0,0,0,0,0,3,0,38,6,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,378"
Botswana,24,207,0,1,873,0,0,0,10,18,0,0,0,0,0,0,0,0,0,3,0,123,11,6,3,1,33,0,14,0,0,0,0,6,6,0,64,7,1,0,0,0,5,1,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,421"
Burkina Faso,32,82,0,2,"2,324",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,271,5,6,115,0,67,0,9,0,0,0,0,0,6,14,46,4,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,4,3,2,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,005"
Burundi,14,10,0,0,513,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,134,1,10,62,0,68,0,3,0,0,0,0,0,1,2,19,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,857
Cabo Verde,6,45,0,2,"1,342",0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,28,0,6,24,0,4,1,3,0,0,0,0,0,1,0,14,0,56,10,0,0,1,1,3,0,0,0,0,0,0,0,0,0,2,1,0,0,0,42,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,605"
Cameroon,31,229,0,9,"5,390",3,0,0,4,29,1,1,0,0,0,0,2,0,0,0,0,517,13,28,75,0,189,0,56,0,0,0,0,2,33,1,200,79,80,17,0,0,6,7,0,0,0,0,0,0,0,0,0,0,4,2,0,5,0,5,0,1,24,1,0,0,0,0,0,0,0,0,0,0,0,0,"7,044"
Central African Republic,23,22,0,0,68,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,9,0,24,45,0,8,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220
Chad,28,72,0,1,558,1,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,73,5,19,95,0,54,0,4,0,0,0,0,0,0,0,22,0,2,0,0,0,5,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,951
Comoros,9,16,7,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,29,0,7,0,0,0,0,0,0,0,0,0,10,0,1,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115
"Congo, Democratic Republic of the",9,520,0,10,"3,931",7,0,0,5,6,0,0,0,0,0,0,1,0,0,0,0,"1,146",27,7,389,0,65,0,24,0,0,0,0,0,6,2,80,11,58,3,0,0,4,9,7,0,0,0,0,0,0,0,0,0,4,24,1,5,0,1,0,0,15,10,0,0,1,3,0,0,0,0,0,0,0,0,"6,391"
"Congo, Republic of the",29,121,0,78,9,561,0,0,4,3,0,4,0,0,0,0,0,0,0,0,0,86,5,36,46,0,31,1,0,0,0,0,0,0,1,1,16,1,7,2,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,048"
Cote d'Ivoire,36,181,3,5,"3,677",2,0,0,8,31,1,1,0,0,0,0,1,0,0,0,0,448,14,20,149,0,98,1,27,0,0,0,0,1,5,14,92,8,40,3,0,0,4,6,0,0,0,0,0,0,0,0,0,0,2,8,1,8,1,1,0,0,3,4,1,4,0,0,0,0,0,0,0,1,0,0,"4,910"
Djibouti,12,60,0,11,129,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,1,4,18,0,11,0,0,0,0,0,0,0,0,0,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,265
Egypt,143,"1,653",22,94,"42,964",16,0,0,13,"1,027",0,0,0,0,0,0,47,0,0,1,0,"1,338",438,32,56,0,186,0,362,0,0,41,0,0,354,62,"1,707",695,214,7,0,0,261,412,42,0,1,0,0,0,0,0,0,0,67,12,45,8,0,4,0,0,21,40,0,3,0,0,0,9,0,1,0,2,0,0,"52,400"
Equatorial Guinea,9,125,4,8,634,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,0,11,60,0,2,0,2,0,0,0,0,0,0,1,11,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,057"
Eritrea,0,5,3,28,559,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,163,5,1,8,0,15,0,1,0,0,0,0,0,0,1,11,1,45,3,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,864
Eswatini,30,23,1,0,391,0,0,0,1,14,0,0,0,0,0,0,0,0,0,0,0,60,2,8,66,0,3,0,5,0,0,0,0,0,8,7,44,1,1,1,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,671
Ethiopia,79,75,4,82,"11,176",15,0,0,11,"1,079",0,0,0,0,63,0,4,1,0,0,0,"1,951",92,80,43,0,401,2,68,0,0,0,0,0,53,9,259,81,175,11,0,0,15,27,6,0,0,0,0,0,0,0,0,0,6,1,3,46,0,7,5,0,10,12,1,3,0,1,0,1,0,0,0,0,0,0,"15,958"
Gabon,25,98,0,2,828,1,0,0,2,0,0,0,0,0,3,1,1,0,0,0,0,108,1,7,88,0,10,0,1,0,0,0,0,0,0,0,14,0,2,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,199"
"Gambia, The",7,53,0,6,379,0,0,0,349,0,1,1,0,0,345,0,0,0,0,0,0,161,4,8,151,0,34,1,5,0,0,0,0,0,2,0,30,10,27,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,"1,585"
Ghana,33,698,1,14,"13,141",9,0,0,23,307,0,43,0,0,11,0,1,0,0,0,0,"3,331",397,33,233,0,167,0,231,0,0,0,0,4,144,64,540,185,284,20,0,0,100,95,9,2,0,0,0,0,0,0,0,0,22,23,4,23,0,163,3,47,89,16,0,0,0,0,0,2,0,0,0,0,0,0,"20,512"
Guinea,6,33,0,0,"1,383",2,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,37,2,6,62,0,38,0,0,0,0,0,0,0,1,1,22,2,35,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,18,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,667"
Guinea-Bissau,2,5,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,56,0,2,0,0,0,0,0,0,0,0,0,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125
Kenya,56,863,8,57,"10,824",13,0,0,24,940,1,15,0,0,1,0,0,0,0,1,0,"1,105",80,48,250,1,558,4,320,0,0,0,0,0,103,26,476,63,85,24,0,0,49,51,7,3,0,0,0,0,0,0,0,0,18,5,3,43,0,11,1,1,48,12,0,4,0,0,0,3,0,1,0,0,0,0,"16,206"
Lesotho,8,37,0,1,76,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,18,1,15,18,0,12,0,1,0,0,0,0,0,0,0,31,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226
Liberia,43,120,0,3,664,2,0,0,1,14,0,0,0,0,0,0,0,0,0,0,0,132,6,23,81,0,26,0,0,0,0,0,0,0,1,0,72,2,82,19,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,324"
Libya,84,76,0,11,568,6,0,0,1,1,0,1,0,0,21,0,0,0,0,0,0,202,106,69,102,0,27,0,20,0,0,0,0,0,9,0,97,19,9,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,438"
Madagascar,21,42,0,2,851,0,0,0,321,8,1,1,0,0,393,0,0,0,0,0,0,118,35,26,64,0,117,1,11,0,0,0,0,0,4,0,110,6,2,0,0,0,1,0,8,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,153"
Malawi,28,67,0,6,"1,123",0,0,0,13,14,3,5,0,0,0,0,1,0,0,0,0,176,51,19,209,0,55,0,9,0,0,0,0,0,10,0,88,20,4,2,0,0,2,6,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,"1,919"
Mali,67,81,0,2,"1,301",7,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,64,0,11,52,0,43,0,4,0,0,0,0,0,0,7,70,1,18,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4,0,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,746"
Mauritania,34,58,1,1,397,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,26,9,22,62,0,17,0,5,0,0,0,0,0,3,1,29,5,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,680
Mauritius,7,28,2,1,"1,044",0,0,0,2,"1,154",0,1,0,0,0,0,2,0,0,0,0,81,0,2,21,0,16,2,26,0,0,2,17,0,3,2,130,1,2,0,0,0,13,12,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"2,578"
Morocco,47,552,13,37,"15,827",22,0,0,4,562,0,2,0,0,4,0,10,0,0,1,0,692,23,24,126,0,82,0,71,0,0,0,0,0,18,21,482,28,117,2,0,0,28,18,2,0,0,0,0,0,0,0,0,0,7,1,1,8,0,17,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,"18,853"
Mozambique,40,126,0,209,312,414,0,0,22,8,0,0,0,0,0,0,0,0,0,0,0,128,3,27,65,0,45,0,5,0,0,1,0,0,4,14,82,8,3,0,0,0,3,8,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,534"
Namibia,17,32,2,5,923,0,0,0,0,67,0,5,0,0,0,0,0,0,0,0,0,57,4,19,46,0,12,0,2,0,0,2,1,0,3,1,85,0,1,0,0,0,11,5,4,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,"1,311"
Niger,33,159,0,4,551,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,160,2,31,147,0,48,0,6,0,0,0,0,0,1,0,31,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,194"
Nigeria,134,"1,212",0,51,"68,975",21,0,0,18,92,3,16,0,0,3,0,2,0,0,0,0,"7,547","1,456",56,688,0,386,1,588,0,0,0,0,0,306,65,"1,123",322,552,34,0,0,197,216,50,3,0,0,0,0,0,0,0,0,97,48,38,13,0,75,2,0,133,28,0,0,2,0,0,4,0,0,0,0,0,0,"84,557"
Rwanda,4,198,1,38,"1,391",28,0,0,7,7,0,5,0,0,0,0,0,0,0,0,0,440,19,9,3,0,68,2,44,0,0,0,0,0,14,2,122,10,24,4,0,0,6,1,8,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,6,3,0,2,0,0,0,0,0,0,0,0,0,0,"2,469"
Sao Tome and Principe,2,5,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,6,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33
Senegal,47,158,0,3,"2,993",2,0,0,2,0,0,10,0,0,61,0,1,0,0,0,0,273,3,40,98,0,156,5,25,0,0,0,0,1,3,18,127,14,30,6,0,0,6,3,2,0,0,0,0,0,0,0,0,0,17,42,0,11,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,"4,159"
Seychelles,1,11,1,7,63,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,11,0,4,17,0,1,0,0,0,0,0,0,0,1,0,9,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142
Sierra Leone,39,186,1,23,"1,941",202,0,0,7,3,0,0,0,0,1,0,0,0,0,0,0,183,5,20,198,0,54,2,2,0,0,0,0,0,0,0,64,3,128,29,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,096"
Somalia,12,23,1,3,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,3,3,13,0,13,0,0,0,0,0,0,0,0,0,4,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209
South Africa,59,416,11,296,"25,475",20,0,0,36,"3,636",0,38,0,0,3,0,25,0,0,8,0,"1,480",70,36,210,0,234,0,227,0,0,"9,554","1,918",8,384,29,"2,849",116,87,9,0,0,856,988,44,3,0,0,0,0,0,0,0,0,183,84,79,87,0,46,17,0,44,63,0,0,0,0,0,5,0,0,0,0,0,0,"49,733"
South Sudan,40,99,0,2,86,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,69,2,13,166,1,15,0,0,0,0,0,0,0,0,0,43,0,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,579
Sudan,56,24,16,108,"2,081",0,0,0,1,2,0,0,0,0,19,0,0,0,0,0,0,236,55,49,84,0,59,0,44,0,0,0,0,0,45,3,128,25,9,0,0,0,7,14,8,0,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,"3,083"
Tanzania,71,383,3,37,"4,151",2,0,0,13,68,0,3,0,0,2,0,0,0,0,0,0,671,40,58,172,0,134,2,40,0,0,0,0,0,10,5,343,12,17,2,0,0,8,15,17,4,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,30,6,0,0,0,0,0,0,0,0,0,0,0,0,"6,323"
Togo,34,126,0,3,"1,015",0,0,0,12,0,0,6,0,0,9,0,1,0,0,0,0,100,1,14,37,0,44,1,6,0,0,0,0,0,3,0,39,3,36,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,2,2,4,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,2,0,0,"1,517"
Tunisia,21,470,3,12,"4,138",10,0,0,4,523,0,1,0,0,1,0,8,0,0,0,0,545,16,10,11,0,44,0,48,0,0,0,0,0,13,2,334,26,16,0,0,0,31,34,1,0,0,0,0,0,0,0,0,0,7,7,2,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,"6,343"
Uganda,28,366,0,13,"5,220",2,0,0,36,0,0,2,0,0,59,0,0,0,0,0,0,863,81,20,181,0,270,5,46,0,0,0,0,0,27,12,244,22,36,12,0,0,13,14,3,0,1,0,0,0,0,0,0,0,7,1,2,7,0,30,0,0,27,5,0,0,0,0,0,0,0,0,0,0,0,0,"7,655"
Zambia,41,176,0,5,"2,696",4,0,0,12,73,0,14,0,0,0,0,2,0,0,0,0,203,21,20,118,0,154,1,10,0,0,0,0,0,2,3,121,10,12,0,0,0,7,3,1,0,0,0,0,0,0,0,0,0,2,5,0,3,0,0,0,0,8,0,0,0,0,0,0,1,0,0,0,0,0,0,"3,728"
Zimbabwe,57,54,4,15,"3,898",0,0,0,"2,227",0,0,7,0,0,"2,392",0,1,0,0,0,0,843,138,51,185,0,284,4,99,0,0,3,0,4,17,5,461,73,16,1,0,0,76,59,7,0,0,0,0,0,0,0,0,0,7,0,5,15,5,7,0,1,9,7,0,0,0,0,0,0,0,0,0,0,0,0,"11,037"
Afghanistan,0,1,0,1,664,1,0,0,1,0,0,0,0,0,3,0,1,0,0,0,0,385,77,0,0,0,152,0,19,0,0,0,0,0,47,3,88,171,205,4,0,0,3,7,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,1,0,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,"1,854"
Bahrain,24,662,0,9,"3,382",45,0,0,0,21,0,0,0,0,0,0,1,0,0,0,0,99,9,6,40,0,1,0,15,0,0,0,0,0,3,0,73,0,3,0,0,0,7,0,5,7,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,417"
Bangladesh,32,"1,221",14,70,"15,335",3,0,0,14,809,2,11,19,14,0,0,25,0,0,0,0,"7,754","1,805",90,182,0,284,1,288,0,0,0,0,0,207,67,412,258,34,0,0,0,56,86,26,2,0,0,0,0,0,0,0,0,10,0,10,0,0,9,0,0,13,3,6,9,6,2,0,10,0,1,1,1,0,0,"29,202"
Bhutan,12,11,0,0,111,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,87,12,12,24,0,31,4,4,0,0,0,0,0,3,0,26,7,3,2,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,360
Brunei,12,64,0,4,31,0,0,0,0,31,0,0,0,0,1,0,0,0,0,0,0,12,0,4,13,0,4,0,1,0,0,0,0,0,0,5,32,0,1,0,0,0,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222
Burma,56,2,2,88,894,3,0,0,800,1,0,0,0,0,"2,338",0,1,0,0,0,0,"1,932",102,18,0,0,58,0,14,0,0,0,0,0,8,0,197,4,66,2,0,0,5,7,7,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,15,9,0,0,0,0,0,0,0,0,0,0,0,0,"6,632"
Cambodia,30,109,0,35,"5,828",1,0,0,43,0,0,3,0,0,39,0,0,0,0,0,0,592,4,42,110,0,64,0,12,0,0,0,0,1,2,2,189,9,103,18,0,0,0,0,15,0,0,0,0,0,0,0,0,0,1,0,3,3,0,7,0,0,18,10,0,0,0,0,0,0,0,0,0,0,0,0,"7,293"
China - mainland,298,124,3,"1,218","68,869",141,0,0,221,"4,654",0,30,24,2,0,2,104,1,0,23,0,"61,894","1,186",72,140,0,749,1,"6,070",0,0,0,0,21,"1,737",16,"6,818","1,211",355,32,0,0,"2,180","1,569",156,4,0,0,0,0,0,0,0,0,333,155,104,147,0,370,7,2,32,18,3,7,0,0,0,76,0,3,3,4,0,0,"161,189"
Hong Kong S.A.R.,0,0,0,5,"16,734",2,0,0,1,428,0,0,0,0,0,0,5,0,0,8,0,"1,926",59,0,0,0,30,0,113,0,0,0,0,0,49,5,536,41,30,3,0,0,125,138,16,2,0,0,0,0,0,0,0,0,33,9,14,13,0,0,0,1,13,13,0,0,0,0,0,8,0,0,0,0,0,0,"20,360"
India,121,"1,460",130,533,"264,515",114,0,0,239,"32,548",4,199,3,3,0,2,48,0,0,147,0,"115,115","3,106",38,50,0,"1,028",9,"166,271",0,0,0,0,24,"116,632",72,"10,571","3,101",414,24,0,0,"20,051","23,491",745,5,0,0,0,1,0,0,0,0,899,250,365,23,0,"1,276",7,0,838,296,1,1,0,0,0,113,0,10,25,48,0,0,"764,966"
Indonesia,185,"2,802",21,446,"57,513",15,0,0,113,"25,194",0,36,0,0,1,1,16,0,0,6,0,"2,342",176,175,284,0,241,2,270,0,0,0,0,1,51,34,"2,024",295,85,9,0,0,138,191,41,0,0,0,0,1,0,0,0,0,51,13,10,8,0,5,6,0,22,9,0,0,0,0,0,1,0,0,0,0,0,1,"92,835"
Iran,2,0,2,20,"4,260",1,0,0,0,9,4,0,0,0,1,0,1,0,0,2,0,"3,567",635,47,212,0,102,0,84,0,0,0,0,0,48,8,765,343,188,14,0,0,15,17,4,0,0,0,0,0,0,0,0,0,25,9,11,1,0,2,0,0,1,2,0,0,0,0,0,20,0,0,0,0,0,0,"10,422"
Iraq,157,514,2,107,"3,232",0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,182,69,54,87,0,24,0,32,0,0,0,1,0,22,3,301,53,273,5,0,0,10,11,3,0,0,0,0,0,0,0,0,0,2,0,1,0,1,16,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,171"
Israel,181,"2,839",1,7,"125,309","1,929",0,0,2,470,0,4,0,0,0,238,438,0,0,15,0,"1,122",69,44,18,0,23,0,331,0,0,4,1,2,227,38,"3,229","1,372",21,1,0,0,804,"1,328",39,6,0,0,0,0,0,0,0,0,321,103,192,149,1,9,4,0,58,80,0,0,0,0,0,0,0,1,0,2,0,0,"141,032"
